,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),Cloud
6,7,148200,3863,CO,1,1.5764542798532162,0.1029978087333059,-2.316782411971229,0.0523789193630233,0.6933150132469899,0.0522316867774025,Ursa Major
7,8,148200,3863,CO,2,0.1130451967966235,0.0,-2.2001676541976574,0.0,0.8602886609840956,0.0,Ursa Major
0,1,148210,2350,HI,1,11.950775471507512,0.2330219693186954,-1.8133788979263403,0.1577057214839985,8.475079410198553,0.1488283450499209,Camelopardalis
1,2,148210,2350,HI,2,10.816933966015574,0.4690555833492259,1.905389941794904,0.0611846745493047,1.2932864066411636,0.0703720039844703,Camelopardalis
2,3,148210,2350,67,1,0.0663290363612822,0.0030104970465461,1.370475098118202,0.0385480763509998,0.6713389309790295,0.0338226330008752,Camelopardalis
3,4,148210,2350,67,2,0.0024162676715454,0.0,-1.8133788979263403,0.0,8.475079410198553,0.0,Camelopardalis
4,5,148210,2350,65,1,0.0443652193015999,0.0036949534430815,1.283638950097639,0.064016864689272,0.609141885119104,0.0592672886115678,Camelopardalis
5,6,148210,2350,65,2,0.0025761808745106,0.0,-1.8133788979263403,0.0,8.475079410198553,0.0,Camelopardalis
6,7,148210,2350,CO,1,3.1656472445414177,0.1413032816906311,1.3043243889217044,0.0268114652260505,0.5456698026582156,0.0291646772178513,Camelopardalis
7,8,148210,2350,CO,2,0.128784656255577,0.0,1.283638950097639,0.0,0.609141885119104,0.0,Camelopardalis
0,1,150120,4067,HI,1,10.608965655327896,0.2619626101974143,1.22158133894357,0.1480026894580778,5.192745678462192,0.1480601336781279,Ursa Major
1,2,150120,4067,67,1,0.0033966856084787,0.0010803811562517,-3.6589207445305,1.1698263047076818,3.183562981164141,1.1698263092353136,Ursa Major
2,3,150120,4067,65,1,0.0024658178518836,0.0009400724465864,1.338215261941809,2.4496075768624817,5.567353171809788,2.449607605471499,Ursa Major
3,4,150120,4067,CO,1,-1.6175127845092617e-19,2.212942951655336e-20,1.1308825007835755e-09,1.3196357884723983e-10,0.9999999972285588,8.43733618641117e-10,Ursa Major
0,1,151500,1925,HI,1,20.0,1.0109659562132025,-0.746892344901698,0.0891643785470203,1.8464316321114336,0.1157681723218012,Camelopardalis
1,2,151500,1925,HI,2,13.944777238007315,0.7578566264745114,-1.1223110345646936,0.279186640952937,8.748602022357414,0.3609817040475063,Camelopardalis
2,3,151500,1925,67,1,0.0226602974981769,0.001886738195622,-1.235307569978747,0.1248340121445829,1.2986275837587953,0.1248337600037096,Camelopardalis
3,4,151500,1925,67,2,0.0023319087633266,0.0,-0.746892344901698,0.0,1.8464316321114336,0.0,Camelopardalis
4,5,151500,1925,65,1,0.0118490747217885,0.0023829821117165,-1.4499243495876797,0.1928032529407589,0.8125718881558601,0.185015633765576,Camelopardalis
