l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
156640,3250,67,1,0.0053501673061052,4.088013389291731,-0.657099501645476,51.94965852947883,0.3037446721589714,102.73578855030796,0.0022098500721208,0.0022465639084763,Ursa Major,F
156640,3250,65,1,0.0024246182426497,0.0013696004800716,0.9492883364104056,2.455072166136825,3.763954540132664,2.4550721939171427,0.0236223171577396,0.0068672681091129,Ursa Major,F
156640,3250,CO,1,1.7424305991234152,0.1018347394426809,-0.8158085290521129,0.0687625746997076,1.0187945370288436,0.0687625743724058,3.762343464685337,0.195941102687462,Ursa Major,F
147200,4075,HI,1,6.923539184630249,0.6220437162953831,3.855904008672132,0.0951120086706799,1.031301164482774,0.1034832825013266,68.11008000000005,0.888177283433751,Ursa Major,F
147200,4075,HI,2,17.24330212808923,0.3936980366989041,1.2266183672199025,0.1004435707079206,3.90302505450454,0.0714691253765495,162.38464000000013,1.53836818103576,Ursa Major,F
147200,4075,67,1,0.0250823525792292,0.0025099877528242,-1.7484824816546565,0.1293537737881528,1.11946337757515,0.1293764256701486,0.0562443576473551,0.0037316207753164,Ursa Major,F
147200,4075,67,2,0.0767279742311494,0.0029689385404782,3.683673290008218,0.0349973865454076,0.7311167038795884,0.0311122142427836,0.1342570280890272,0.0037316207753164,Ursa Major,F
147200,4075,65,1,0.0549463668935136,0.0031990630575489,3.812876969319019,0.0472957675598975,0.6836668904520712,0.0458462322338071,0.0783577073566071,0.0027325183374,Ursa Major,F
147200,4075,65,2,0.0020844167654259,0.3936980366989041,-1.7484824816546565,0.1004435707079206,1.11946337757515,0.0714691253765495,0.0014250467284248,9.556265509975734e-05,Ursa Major,T
147200,4075,CO,1,1.9999973087272505,54.03215329375056,3.668532836715196,1.4790130115036095,0.603584191892759,1.2245988157834455,5.695724553874619,0.1350446164538388,Ursa Major,F
147200,4075,CO,2,1.9999971347311305,54.01093557005749,3.789743697317053,1.9384201242442147,0.6891346659951423,1.1248698333033158,5.695724553874619,0.1350446164538388,Ursa Major,F
146930,2075,HI,1,37.11092791903348,0.7728657358253074,-1.2109156592745902,0.0724746002780533,3.014247313339564,0.072488591732647,234.17344000000023,0.7538964581587965,Camelopardalis,F
146930,2075,67,1,0.0578820640835043,0.0028808814108301,-0.1345228675068006,0.0487027007105459,0.8417443213893756,0.0481081325349354,0.1113470146381781,0.009412084953809,Camelopardalis,F
146930,2075,65,1,0.0335006449159493,0.0041476069146223,0.13640804169502,0.0684935771830161,0.6422672870471277,0.1023155270714813,0.0478735640492787,0.0087329032793687,Camelopardalis,F
146930,2075,CO,1,0.6976649075465258,0.0923779182356497,0.0558850843419252,0.1062599893059623,0.6956479391066641,0.1065219328940769,1.1363529518880786,0.1387282495660594,Camelopardalis,F
